unit,treatment,time,k1_obs,k2_obs,k3_obs,k4_obs
0.0,0.0,0.0,0.848292570731944,1.4083102901682656,0.5410059925441711,40.93855892950018
0.0,0.0,1.4,1.1167297809532872,0.6764888957240124,1.4175804186852847,42.18461773481836
0.0,0.0,2.0,1.1802095138382414,0.9099783201708548,1.684770870215053,42.71908852867469
0.0,0.0,2.4,1.1207273951134844,0.9527720547691308,2.122487992188694,43.096241601734576
0.0,0.0,3.4,0.4486478726873218,0.3106780571490973,2.7988916161812427,43.44128893179464
0.0,0.0,4.4,0.4787442777399417,-0.4426521525282767,3.1575308273724003,42.36988317858746
0.0,0.0,4.6,0.9071112201022923,-0.1672969378626091,3.3503044596361673,42.056002804627305
0.0,0.0,5.9,-0.9099423775955375,0.0073363281571266915,4.464096270524072,41.09350116025375
0.0,0.0,6.2,-0.6837822812206338,-0.2210288778743083,4.51048790668105,40.922722184153365
0.0,0.0,6.7,0.28065977897537586,-0.799086569672184,4.834489445702806,40.627416444782845
0.0,0.0,8.4,-0.07164680289380466,-0.326504217714662,5.848224645255752,40.33780254273593
0.0,0.0,9.3,-1.845099647360196,0.6829274548060197,6.304256539754786,40.72681721388267
0.0,0.0,10.2,-0.5339381560114697,0.4080547136319713,7.0364247019508745,40.65261122468098
0.0,0.0,10.5,0.49402245641782117,0.3399971325978726,7.134248048223622,40.93023533722338
1.0,1.0,0.8,0.7556856568911873,1.8792275865515697,1.345833800174088,44.64517656132101
1.0,1.0,0.8,0.5446220181452675,1.8370665678374027,1.4042764021600265,44.854401735155996
1.0,1.0,1.1,0.2547733979255388,2.164595040816183,1.2393658489203434,44.604514204986096
1.0,1.0,1.9,-0.04671869956941303,2.689427216004368,1.2815807796227325,44.24964545269803
1.0,1.0,4.1,0.5986580654798921,-0.8834902193841299,1.6039846850570356,43.83345210869406
1.0,1.0,5.1,0.058460504760932126,1.0236843998723293,1.7766931599639106,44.946137345481745
1.0,1.0,5.4,-0.5167816161354865,1.5902980617765108,1.9962548683424841,45.11178192878807
1.0,1.0,5.7,-1.9596600146788172,2.3664041588566547,1.84098161046768,45.42065138435132
1.0,1.0,9.4,-3.0426538968382864,0.9157776523122594,2.4154555494352237,46.54620023235913
1.0,1.0,10.1,-1.627597503359744,0.26822412544315866,2.319768867773555,47.09400066662548
1.0,1.0,11.4,0.7242745213735784,0.7763722241270195,2.663590959022415,48.94158219208672
2.0,0.0,0.5,0.8127712056898356,1.5097570246455547,0.25398575605660556,40.79480903736403
2.0,0.0,0.9,1.0904441186747462,1.6375982826816133,0.8114207171193596,40.94180772652539
2.0,0.0,1.4,0.5183334945482341,2.1193016973781127,1.0318014008087815,41.14042653588706
2.0,0.0,1.7,0.19772319688273754,2.5064009611111104,1.16164513052775,40.95420330171431
2.0,0.0,3.6,0.258097818589941,0.8314407624212875,2.274061136750733,42.00061932738495
2.0,0.0,3.7,1.018079538395097,0.8944040057665679,2.1916384959649022,42.10453454419965
2.0,0.0,3.8,1.0573401683471437,0.9053936310955166,2.4282930704148313,42.15077303432536
2.0,0.0,4.8,0.18299636462634888,1.5865866749444077,3.1196615947064306,42.41194726423943
2.0,0.0,6.4,-0.9302773973329507,0.8464880440409844,4.110372088599028,42.370777162219866
2.0,0.0,6.9,0.0550123553337333,-0.05652578375038886,4.4075394644089805,42.404325778209234
2.0,0.0,6.9,-0.040419510378161196,-0.10306926611163486,4.413607163004415,42.312117879048046
2.0,0.0,7.6,1.159644334022167,-0.6764380182964791,5.020453402328086,42.84634607602132
2.0,0.0,10.6,0.19362583970247033,0.15431683900095006,6.940446279589789,42.037644748754445
